Year,Buffett,Market
1965,23.8,10
1966,20.3,-11.7
1967,11,30.9
1968,19,11
1969,16.2,-8.4
1970,12,3.9
1971,16.4,14.6
1972,21.7,18.9
1973,4.7,-14.8
1974,5.5,-26.4
1975,21.9,37.2
1976,59.3,23.6
1977,31.9,-7.4
1978,24,6.4
1979,35.7,18.2
1980,19.3,32.3
1981,31.4,-5
1982,40,21.4
1983,32.3,22.4
1984,13.6,6.1
1985,48.2,31.6
1986,26.1,18.6
1987,19.5,5.1
1988,20.1,16.6
1989,44.4,31.7
1990,7.4,-3.1
1991,39.6,30.5
1992,20.3,7.6
1993,14.3,10.1
1994,13.9,1.3
1995,43.1,37.6
1996,31.8,23
1997,34.1,33.4
1998,48.3,28.6
1999,0.5,21
2000,6.5,-9.1
2001,-6.2,-11.9
2002,10,-22.1
2003,21,28.7
2004,10.5,10.9
2005,6.4,4.9
2006,18.4,15.8
2007,11,5.5
2008,-9.6,-37
2009,19.8,26.5
2010,13,15.1
2011,4.6,2.1
2012,14.4,16
2013,18.2,32.4
2014,8.3,13.7
2015,6.4,1.4
2016,10.7,12
2017,23,21.8
