name,nevents,money,drivedist,ROUNDS,gir,avgputts
Tiger Woods,20,9188321,298,82,75.15,1.717
Phil Mickelson,23,4746457,288.7,85,68.06,1.726
Ernie Els,20,3469405,278.4,74,66.49,1.749
Hal Sutton,25,3061444,275.4,93,69.73,1.773
Vijay Singh,26,2573835,279.9,97,71.09,1.779
Mike Weir,28,2547829,272.2,102,68.48,1.74
David Duval,19,2462846,283.5,73,70.46,1.751
Jesper Parnevik,20,2413345,273.3,71,65.97,1.742
Davis Love III,25,2337765,288.7,98,69,1.749
Stewart Cink,27,2169727,277.8,98,69.11,1.756
Kirk Triplett,28,2099943,273.4,101,69.71,1.75
Tom Lehman,21,2068499,273,71,70.26,1.793
Steve Flesch,32,2025781,279.2,123,70.75,1.748
Justin Leonard,28,2023465,272.7,98,67.79,1.757
David Toms,31,2002068,275.2,113,70.16,1.762
Robert Allenby,26,1968685,285.8,98,67.28,1.778
Jim Furyk,25,1940519,269.9,98,68.01,1.757
Loren Roberts,24,1932280,257.9,87,66.19,1.747
Chris DiMarco,33,1842221,277.6,118,69.25,1.753
Notah Begay III,24,1819323,273.3,82,65.69,1.807
Nick Price,18,1804433,273.2,63,67.96,1.749
Scott Verplank,28,1747643,268.6,106,69.6,1.755
Mark Calcavecchia,28,1702317,279.7,99,68.94,1.767
Stuart Appleby,24,1642221,286.4,86,65.51,1.753
John Huston,23,1631695,273.8,81,66.6,1.751
Franklin Langham,28,1604952,273.3,95,67.46,1.744
Paul Azinger,20,1597139,277.5,73,65.36,1.733
Chris Perry,31,1563115,274.8,109,71.2,1.76
Bob May,26,1557720,276.4,95,70.11,1.779
Carlos Franco,24,1550592,275.2,85,64.91,1.752
Steve Lowery,30,1543818,277.1,107,68.06,1.754
Duffy Waldorf,23,1384508,283.4,80,69.41,1.794
Scott Hoch,29,1368888,270.6,108,68.86,1.763
Rocco Mediate,24,1320278,273.6,79,67.75,1.802
Tom Scherrer,33,1263585,274.1,104,67.9,1.771
Rory Sabbatini,26,1262535,285.5,85,63.12,1.75
Shigeki Maruyama,26,1207104,281.1,88,64.33,1.794
Grant Waite,26,1142789,279,85,68.89,1.764
Jeff Maggert,27,1138749,272.7,86,68.45,1.799
Jonathan Kaye,34,1096131,275.1,115,65.82,1.743
Greg Chalmers,28,1063456,278.1,96,68.72,1.754
Sergio Garcia,16,1054338,278.3,59,61.92,1.733
Dudley Hart,24,1048166,272.3,74,69.25,1.788
Scott Dunlap,30,1040244,274.7,106,69.34,1.777
Billy Andrade,31,1004827,272.7,89,62.53,1.748
Brad Faxon,29,999460,264.4,98,64.41,1.704
Fred Couples,19,990215,284.7,71,71.13,1.774
Jim Carter,30,964346,266.4,96,62.74,1.762
Blaine McCallister,30,963974,269.4,104,69.18,1.761
Skip Kendall,32,947118,271.5,114,67.46,1.738
Dennis Paulson,26,896098,284.3,82,62.34,1.786
Kenny Perry,20,889381,282.8,76,71.86,1.776
